Actual_Lead_Time,Predicted_Lead_Time,Actual_Disruption,Predicted_Disruption
41.39,15.79154,1.0,0.0
40.92,20.081064,1.0,1.0
11.54,1.3724519,0.0,1.0
53.13,6.416995,1.0,0.0
0.5,1.7942613,1.0,1.0
2.16,10.672745,1.0,0.0
2.99,1.133132,0.0,1.0
1.25,38.155006,1.0,1.0
0.62,1.0363549,1.0,0.0
25.17,1.8605082,1.0,0.0
0.5,6.7893295,0.0,0.0
1.33,34.69564,1.0,1.0
19.6,8.866652,1.0,0.0
7.58,1.0363549,1.0,0.0
9.4,1.0363549,1.0,1.0
25.5,13.40022,1.0,1.0
3.76,1.0363549,0.0,0.0
1.83,13.373837,1.0,0.0
0.5,6.984117,0.0,0.0
7.6,12.580092,0.0,0.0
0.5,58.9971,0.0,1.0
6.61,4.4560294,1.0,0.0
4.54,12.753021,1.0,0.0
3.3,1.0363549,1.0,1.0
4.29,1.0440336,0.0,0.0
6.86,1.0363549,1.0,0.0
9.09,1.0363549,0.0,1.0
11.18,5.57799,0.0,0.0
2.04,5.6830807,1.0,1.0
0.5,1.0363549,0.0,0.0
25.79,14.603538,0.0,1.0
1.04,71.19248,1.0,1.0
2.5,1.0363549,1.0,0.0
16.61,31.688768,1.0,1.0
1.62,77.98646,0.0,1.0
15.57,12.576231,0.0,0.0
27.96,6.2366676,1.0,0.0
5.17,2.3321955,1.0,0.0
10.49,38.55966,1.0,1.0
17.32,15.229858,1.0,0.0
0.5,1.0363549,1.0,1.0
15.87,101.57096,1.0,1.0
2.84,1.0363549,0.0,0.0
18.12,42.537918,0.0,1.0
25.25,2.6720872,1.0,1.0
9.76,42.59104,1.0,1.0
8.72,26.650366,1.0,1.0
16.27,24.446814,1.0,0.0
110.18,1.0363549,1.0,0.0
1.85,49.41452,1.0,1.0
21.27,5.9371166,0.0,0.0
11.65,7.5499263,0.0,0.0
70.01,24.898588,1.0,0.0
107.82,29.766064,1.0,1.0
19.8,6.4755917,1.0,0.0
1.65,1.0363549,1.0,0.0
0.74,12.765908,0.0,0.0
18.83,1.0363549,0.0,0.0
1.32,11.820082,0.0,0.0
5.57,5.5550704,0.0,0.0
12.92,67.0585,0.0,1.0
23.3,1.038312,1.0,0.0
9.0,1.0363549,0.0,1.0
11.04,1.6982882,0.0,1.0
3.09,1.7258894,0.0,1.0
47.52,1.652045,1.0,0.0
0.85,11.445868,0.0,0.0
0.5,1.0363549,0.0,0.0
3.32,24.756983,1.0,1.0
23.13,23.64459,0.0,1.0
