Actual_Lead_Time,Predicted_Lead_Time,Actual_Disruption,Predicted_Disruption
41.39,14.236386,1.0,1.0
40.92,25.208204,1.0,1.0
11.54,0.8882839,0.0,1.0
53.13,6.0000596,1.0,1.0
0.5,2.0755553,1.0,0.0
2.16,11.677486,1.0,0.0
2.99,0.9621327,0.0,1.0
1.25,37.156147,1.0,1.0
0.62,1.511245,1.0,0.0
25.17,3.4318695,1.0,0.0
0.5,7.2177634,0.0,0.0
1.33,38.693123,1.0,1.0
19.6,9.45183,1.0,1.0
7.58,1.4662659,1.0,0.0
9.4,0.9585086,1.0,1.0
25.5,13.199271,1.0,1.0
3.76,0.54737544,0.0,0.0
1.83,13.912366,1.0,0.0
0.5,6.9144516,0.0,1.0
7.6,11.841998,0.0,0.0
0.5,62.73046,0.0,1.0
6.61,4.6506424,1.0,1.0
4.54,15.46644,1.0,0.0
3.3,1.0216962,1.0,1.0
4.29,2.4119306,0.0,0.0
6.86,0.96921974,1.0,1.0
9.09,0.6919408,0.0,1.0
11.18,5.2408857,0.0,0.0
2.04,5.5770245,1.0,1.0
0.5,0.43616867,0.0,1.0
25.79,19.202755,0.0,0.0
1.04,77.696396,1.0,1.0
2.5,1.1255844,1.0,0.0
16.61,30.826921,1.0,1.0
1.62,82.711365,0.0,1.0
15.57,13.618905,0.0,1.0
27.96,6.8956804,1.0,0.0
5.17,3.8109226,1.0,0.0
10.49,40.167305,1.0,0.0
17.32,15.47308,1.0,1.0
0.5,1.2581517,1.0,1.0
15.87,106.12121,1.0,1.0
2.84,0.4940604,0.0,0.0
18.12,39.363983,0.0,1.0
25.25,4.1457353,1.0,1.0
9.76,42.345707,1.0,1.0
8.72,28.119669,1.0,1.0
16.27,27.568745,1.0,0.0
110.18,1.1277452,1.0,0.0
1.85,51.05844,1.0,1.0
21.27,5.839299,0.0,1.0
11.65,8.171963,0.0,0.0
70.01,26.275545,1.0,0.0
107.82,31.798374,1.0,1.0
19.8,9.12135,1.0,0.0
1.65,0.729887,1.0,0.0
0.74,13.805009,0.0,0.0
18.83,1.303836,0.0,0.0
1.32,12.511227,0.0,1.0
5.57,5.5580716,0.0,0.0
12.92,66.8683,0.0,1.0
23.3,1.1382045,1.0,0.0
9.0,1.1664708,0.0,1.0
11.04,3.1144805,0.0,1.0
3.09,3.3928123,0.0,1.0
47.52,3.838583,1.0,0.0
0.85,13.435081,0.0,0.0
0.5,0.93342245,0.0,0.0
3.32,24.912952,1.0,1.0
23.13,24.482718,0.0,1.0
36.52,1.1992078,1.0,1.0
6.46,36.088055,0.0,1.0
8.4,81.02225,1.0,1.0
10.99,1.9694576,0.0,1.0
66.01,19.827747,1.0,1.0
30.22,7.3834295,1.0,1.0
1.23,24.607195,0.0,1.0
7.76,33.80702,1.0,0.0
4.7,28.266338,0.0,0.0
0.8,1.4158701,1.0,1.0
71.68,0.4926818,1.0,0.0
130.77,10.632826,1.0,1.0
13.62,6.690168,1.0,0.0
2.51,7.2697964,0.0,1.0
31.75,0.58552575,1.0,0.0
3.97,0.4887773,1.0,0.0
16.0,14.227747,0.0,1.0
6.24,2.093279,0.0,0.0
1.59,32.8186,1.0,1.0
3.66,0.69335043,1.0,1.0
0.5,1.2624078,1.0,1.0
29.43,0.73292434,1.0,0.0
78.49,17.610905,1.0,1.0
1.94,47.40123,1.0,1.0
6.92,27.628185,1.0,1.0
15.17,9.210545,1.0,0.0
50.51,23.338661,1.0,1.0
3.61,15.915188,1.0,1.0
0.93,71.60499,1.0,1.0
0.99,1.1324977,0.0,1.0
0.6,11.132237,0.0,0.0
13.93,29.644634,1.0,1.0
0.78,1.151042,0.0,0.0
17.18,5.2529864,0.0,0.0
108.49,1.1174045,1.0,0.0
3.39,1.2617586,1.0,0.0
9.61,1.2079809,0.0,0.0
28.85,10.318322,0.0,0.0
3.01,2.2380848,1.0,1.0
1.59,0.57934266,0.0,0.0
0.82,35.704975,1.0,0.0
0.5,12.0362835,1.0,0.0
12.52,1.6747483,1.0,1.0
0.61,13.372128,0.0,0.0
0.7,1.2954125,0.0,1.0
0.99,121.25715,1.0,1.0
14.04,5.5429983,1.0,1.0
9.81,1.240673,1.0,0.0
24.04,14.469623,0.0,0.0
2.04,7.9875226,1.0,1.0
11.27,31.73058,0.0,0.0
12.3,6.2475133,0.0,1.0
4.12,28.507341,1.0,0.0
2.08,32.117577,1.0,1.0
0.5,0.93169385,0.0,0.0
1.46,32.654823,1.0,0.0
182.19,12.820466,1.0,0.0
177.59,11.811095,1.0,1.0
0.5,5.9479685,0.0,0.0
8.15,8.535627,1.0,0.0
35.77,26.092695,1.0,1.0
0.57,0.5043121,0.0,0.0
15.06,4.838629,1.0,1.0
